id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,trip_minutes,pickup_hour,pickup_dayofweek,trip_distance_km
id0621471,1,2016-02-12 09:09:17,2016-02-12 09:15:25,1,-74.00808715820312,40.737808227539055,-73.99617767333984,40.73811721801758,N,368,6.133333333333334,9,Friday,1.0033631363942954
id1580887,2,2016-05-04 14:28:56,2016-05-04 14:44:20,3,-73.98174285888672,40.762962341308594,-73.97698974609375,40.7875862121582,N,924,15.4,14,Wednesday,2.765410150150202
id0309316,2,2016-04-22 10:42:40,2016-04-22 10:48:52,1,-73.97676086425781,40.78850936889648,-73.98218536376953,40.774681091308594,N,372,6.2,10,Friday,1.6030253833071613
id3856168,1,2016-02-03 19:25:17,2016-02-03 19:45:25,1,-73.98342895507811,40.77361679077149,-73.93611907958984,40.75777816772461,N,1208,20.133333333333333,19,Wednesday,4.3534713615140435
id2014718,1,2016-02-08 19:30:46,2016-02-08 19:35:23,1,-73.98758697509764,40.7794303894043,-73.97836303710938,40.789329528808594,N,277,4.616666666666666,19,Monday,1.3462699447676418
id0966948,2,2016-06-20 10:13:29,2016-06-20 10:22:39,1,-73.98214721679686,40.76528549194336,-73.99375915527344,40.76877212524414,N,550,9.166666666666666,10,Monday,1.051296609865281
id0002627,1,2016-05-25 22:55:07,2016-05-25 22:58:30,1,-73.97183990478516,40.79467010498047,-73.96427917480467,40.8047981262207,N,203,3.3833333333333333,22,Wednesday,1.2927571228788517
id0042331,1,2016-01-25 16:10:12,2016-01-25 16:11:41,1,-74.00122833251953,40.746685028076165,-74.00352478027342,40.74163055419922,N,89,1.4833333333333334,16,Monday,0.5940240034566107
id2547550,2,2016-02-15 02:59:52,2016-02-15 03:03:26,6,-73.9791717529297,40.73598861694336,-73.98589324951173,40.732791900634766,N,214,3.566666666666667,2,Monday,0.6682245250519607
id0360319,1,2016-05-27 01:28:59,2016-05-27 01:34:27,1,-73.97203826904298,40.76293182373047,-73.98397827148438,40.76053237915039,N,328,5.466666666666667,1,Friday,1.0397559255942497
id3989905,2,2016-02-18 07:22:39,2016-02-18 07:26:28,6,-73.96775817871092,40.79269027709961,-73.97808837890625,40.78316879272461,N,229,3.816666666666667,7,Thursday,1.3692846369568117
id3116111,2,2016-01-31 17:26:34,2016-01-31 17:36:57,1,-73.98973083496092,40.757171630859375,-74.00463104248048,40.74195861816406,N,623,10.383333333333333,17,Sunday,2.1050908428272366
id1531004,1,2016-03-17 11:26:36,2016-03-17 11:44:36,1,-73.99514770507811,40.72504425048828,-73.97379302978516,40.75473785400391,N,1080,18.0,11,Thursday,3.7577756963346447
id3576444,1,2016-02-22 19:44:06,2016-02-22 20:04:21,1,-73.98422241210938,40.7425537109375,-73.98103332519531,40.7815055847168,N,1215,20.25,19,Monday,4.33684620157776
id3842685,2,2016-01-18 08:16:32,2016-01-18 08:23:25,1,-73.94762420654298,40.78341293334961,-73.95819854736328,40.76904678344727,N,413,6.883333333333334,8,Monday,1.8276880627189938
id1138873,1,2016-03-20 04:48:48,2016-03-20 05:04:12,1,-73.99066925048828,40.76103210449219,-73.98455047607422,40.72025680541992,N,924,15.4,4,Sunday,4.560352760843727
id1648257,2,2016-05-27 13:42:10,2016-05-27 13:50:23,5,-73.99117279052734,40.70119857788086,-74.01142120361328,40.7136116027832,N,493,8.216666666666667,13,Friday,2.1936573588942165
id1839123,1,2016-02-27 20:28:43,2016-02-27 20:39:04,2,-73.99137115478516,40.74999237060546,-73.98602294921875,40.765411376953125,N,621,10.35,20,Saturday,1.771591968192682
id2388821,2,2016-04-27 09:39:33,2016-04-27 09:58:10,1,-74.00927734375,40.70423126220703,-74.0068817138672,40.75139999389648,N,1117,18.616666666666667,9,Wednesday,5.245511593988355
id0978004,1,2016-03-02 22:01:44,2016-03-02 22:35:49,1,-73.98294830322266,40.756694793701165,-73.98006439208984,40.66282653808594,N,2045,34.083333333333336,22,Wednesday,10.433948906376019
id0318188,2,2016-04-16 08:34:03,2016-04-16 09:35:47,2,-73.78219604492188,40.64489364624024,-73.98741149902342,40.74419403076172,N,3704,61.733333333333334,8,Saturday,20.51151424843046
id1154080,1,2016-01-02 17:21:31,2016-01-02 17:30:11,1,-73.98240661621094,40.73151016235352,-73.97727966308595,40.751747131347656,N,520,8.666666666666666,17,Saturday,2.2898897466551187
id3927940,2,2016-06-16 12:26:36,2016-06-16 12:41:21,1,-73.97686004638672,40.74734878540039,-73.96192169189453,40.762939453125,N,885,14.75,12,Thursday,2.1407626010763545
id2390687,2,2016-05-04 04:38:45,2016-05-04 04:43:46,2,-73.8832778930664,40.74761962890625,-73.87053680419923,40.74237060546875,N,301,5.016666666666667,4,Wednesday,1.221018199936703
id2814414,2,2016-02-10 22:04:02,2016-02-10 22:08:55,1,-74.00611877441406,40.723438262939446,-73.99723052978516,40.73347473144531,N,293,4.883333333333334,22,Wednesday,1.343185296287266
id1791291,1,2016-06-22 10:54:44,2016-06-22 11:18:30,1,-73.95547485351561,40.764198303222656,-73.97706604003906,40.75747680664063,N,1426,23.766666666666666,10,Wednesday,1.964853583676097
id2979047,1,2016-04-07 22:19:32,2016-04-07 22:30:09,1,-73.98265075683594,40.77208709716797,-73.96905517578125,40.76428985595703,N,637,10.616666666666667,22,Thursday,1.4352761487249517
id3607308,1,2016-02-11 17:01:37,2016-02-11 17:12:56,1,-73.86759948730467,40.72281646728516,-73.88512420654298,40.74395751953125,N,679,11.316666666666666,17,Thursday,2.7743188430088974
id0525984,2,2016-02-23 20:53:42,2016-02-23 20:55:54,1,-74.00900268554686,40.710899353027344,-74.01396942138672,40.70241928100586,N,132,2.2,20,Tuesday,1.031055563907311
id2773538,1,2016-01-17 08:05:58,2016-01-17 08:08:53,1,-73.98681640625,40.756717681884766,-73.99774169921875,40.76091003417969,N,175,2.9166666666666665,8,Sunday,1.0308918475069984
id0801130,1,2016-03-05 10:17:13,2016-03-05 10:29:04,1,-73.95210266113281,40.77727890014648,-73.97689819335938,40.74331283569336,N,711,11.85,10,Saturday,4.313073895323065
