id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,trip_minutes,pickup_hour,pickup_dayofweek,trip_distance_km
id1500313,2,2016-06-08 10:25:08,2016-06-08 10:36:14,1,-73.97230529785155,40.74991989135742,-73.9755859375,40.74069595336913,N,666,11.1,10,Wednesday,1.0615712261712542
id3936252,2,2016-03-25 08:31:14,2016-03-25 08:42:48,1,-73.9669418334961,40.78865432739258,-73.97179412841797,40.76309585571289,N,694,11.566666666666666,8,Friday,2.869390320660683
id1780118,1,2016-06-29 15:07:15,2016-06-29 15:21:12,1,-73.9535903930664,40.77956771850586,-73.97006225585938,40.799903869628906,N,837,13.95,15,Wednesday,2.650947847597756
id2402090,1,2016-05-16 23:08:47,2016-05-16 23:27:21,4,-73.99331665039062,40.722267150878906,-73.96800231933594,40.78720474243164,N,1114,18.566666666666666,23,Monday,7.5242495354331895
id3908069,2,2016-01-30 18:54:12,2016-01-30 19:00:25,1,-73.97869110107422,40.76237869262695,-73.98496246337889,40.759632110595696,N,373,6.216666666666667,18,Saturday,0.6097509466845922
id2264685,2,2016-01-20 00:12:37,2016-01-20 00:33:42,1,-74.0050048828125,40.740909576416016,-73.96310424804686,40.71529769897461,N,1265,21.083333333333332,0,Wednesday,4.533325957722891
id3720354,1,2016-06-25 10:34:42,2016-06-25 10:46:34,1,-73.96519470214845,40.7667121887207,-73.97340393066406,40.79696273803711,N,712,11.866666666666667,10,Saturday,3.43183237473486
id3591320,1,2016-05-11 11:06:29,2016-05-11 11:10:08,1,-73.95587921142578,40.784683227539055,-73.95742797851561,40.778518676757805,N,219,3.65,11,Wednesday,0.6973221844120184
id0610945,1,2016-06-15 07:56:18,2016-06-15 08:03:14,1,-73.95734405517578,40.76849365234375,-73.95935821533203,40.76025390625,N,416,6.933333333333334,7,Wednesday,0.9312035820043716
id0485862,2,2016-06-01 16:43:24,2016-06-01 16:45:27,1,-73.9822540283203,40.74589538574219,-73.97925567626953,40.74991607666016,N,123,2.05,16,Wednesday,0.5131736775965732
id2203916,2,2016-03-24 16:46:35,2016-03-24 16:52:55,1,-73.97257995605469,40.75928115844727,-73.97519683837889,40.75237274169922,N,380,6.333333333333333,16,Thursday,0.7986771065786957
id1141511,1,2016-01-29 00:58:24,2016-01-29 01:23:04,1,-73.99141693115233,40.755268096923835,-73.94498443603516,40.833763122558594,N,1480,24.666666666666668,0,Friday,9.557494091479429
id3936303,2,2016-03-06 04:43:19,2016-03-06 04:49:07,5,-73.9947738647461,40.74779510498047,-73.98979187011719,40.75262069702149,N,348,5.8,4,Sunday,0.6807782347714167
id3247966,2,2016-04-19 23:23:23,2016-04-19 23:38:54,2,-73.9844970703125,40.74114227294922,-73.96739959716798,40.7664451599121,N,931,15.516666666666667,23,Tuesday,3.1587356387932
id3543248,1,2016-02-08 05:35:34,2016-02-08 05:59:30,1,-73.97518157958984,40.761985778808594,-73.87033081054686,40.7735481262207,N,1436,23.933333333333334,5,Monday,8.917499309489003
id1753450,2,2016-04-13 11:54:31,2016-04-13 12:09:58,1,-73.98629760742188,40.74924087524414,-73.9623794555664,40.75461959838867,N,927,15.45,11,Wednesday,2.100322993635049
id3786980,2,2016-06-06 18:32:46,2016-06-06 18:56:11,1,-73.87126159667967,40.77384185791016,-73.94582366943358,40.81985855102539,N,1405,23.416666666666668,18,Monday,8.092825906241943
id1756013,2,2016-03-19 20:31:20,2016-03-19 20:35:30,1,-73.9240493774414,40.743999481201165,-73.93775939941406,40.749408721923835,N,250,4.166666666666667,20,Saturday,1.301371423033501
id2421079,2,2016-04-16 01:29:07,2016-04-16 02:06:09,1,-73.96524810791014,40.7592887878418,-73.8662567138672,40.70557022094727,N,2222,37.03333333333333,1,Saturday,10.252769714565122
id2751632,2,2016-06-04 21:30:28,2016-06-04 22:00:54,1,-73.98603057861328,40.76045608520508,-73.99347686767578,40.72138214111328,N,1826,30.433333333333334,21,Saturday,4.387124925487608
id3155656,2,2016-01-13 15:19:26,2016-01-13 15:32:42,1,-73.97431945800781,40.75920867919922,-73.98235321044923,40.75693130493164,N,796,13.266666666666667,15,Wednesday,0.7220390365242251
id0205811,2,2016-02-02 14:49:35,2016-02-02 15:02:01,1,-73.97557067871092,40.78976821899414,-73.9871597290039,40.770240783691406,N,746,12.433333333333334,14,Tuesday,2.3790380412365457
id2456319,2,2016-05-26 23:13:57,2016-05-26 23:27:14,6,-74.00851440429686,40.70799255371094,-74.00733947753906,40.74117660522461,N,797,13.283333333333333,23,Thursday,3.6889087861523837
id0019769,2,2016-06-06 07:59:45,2016-06-06 08:05:08,1,-73.98586273193358,40.742279052734375,-73.97750091552734,40.73892974853516,N,323,5.383333333333334,7,Monday,0.7963615162223174
id1930146,1,2016-04-02 19:30:08,2016-04-02 19:39:20,3,-73.98997497558594,40.70075988769531,-73.95670318603516,40.712749481201165,N,552,9.2,19,Saturday,3.1033485951834985
id3159923,1,2016-03-26 07:04:48,2016-03-26 07:12:48,1,-73.98027038574217,40.76528549194336,-73.95394897460938,40.77898025512695,N,480,8.0,7,Saturday,2.687511141363833
id3345201,2,2016-05-26 07:40:31,2016-05-26 07:46:33,1,-73.99152374267578,40.75028991699219,-73.9875717163086,40.74176025390625,N,362,6.033333333333333,7,Thursday,1.0045597269760056
id2753711,2,2016-03-17 01:16:20,2016-03-17 01:33:38,1,-74.00108337402342,40.729358673095696,-73.94013977050781,40.707611083984375,N,1038,17.3,1,Thursday,5.673402683723198
id0188389,2,2016-02-27 19:11:24,2016-02-27 19:20:40,1,-73.97232055664062,40.75691986083984,-73.986572265625,40.76163101196289,N,556,9.266666666666667,19,Saturday,1.3088675255143611
id0704188,2,2016-05-06 18:22:29,2016-05-06 18:41:42,2,-73.97569274902342,40.74874114990234,-73.951416015625,40.77369689941406,N,1153,19.216666666666665,18,Friday,3.4447201253268913
id3891239,2,2016-03-03 22:05:14,2016-03-03 22:12:18,1,-73.9856185913086,40.72692108154297,-73.9812774658203,40.7388801574707,N,424,7.066666666666666,22,Thursday,1.3783120949524283
id2900887,2,2016-04-11 19:24:24,2016-04-11 19:31:25,1,-73.97835540771484,40.78578567504882,-73.968017578125,40.80121994018555,N,421,7.016666666666667,19,Monday,1.9230421218155078
id1098876,2,2016-02-20 18:08:54,2016-02-20 18:17:19,1,-73.95125579833984,40.785099029541016,-73.9681396484375,40.762351989746094,N,505,8.416666666666666,18,Saturday,2.899728565493951
id1183104,1,2016-03-16 16:21:58,2016-03-16 16:39:23,1,-73.97817993164062,40.741405487060554,-74.00568389892578,40.71507263183594,N,1045,17.416666666666668,16,Wednesday,3.731957951649902
id3886486,2,2016-01-19 19:02:24,2016-01-19 19:24:19,1,-73.97119140625,40.75825119018555,-73.97742462158203,40.78717422485352,N,1315,21.916666666666668,19,Tuesday,3.256600282870703
id2168766,2,2016-01-05 00:38:57,2016-01-05 00:44:32,1,-73.95143127441406,40.82527160644531,-73.93876647949217,40.822368621826165,N,335,5.583333333333333,0,Tuesday,1.1127808559430143
id1020877,1,2016-04-22 18:49:50,2016-04-22 19:15:08,1,-73.98380279541014,40.7617073059082,-73.99043273925781,40.75753021240234,N,1518,25.3,18,Friday,0.7258729167462257
id3663469,2,2016-06-17 15:44:43,2016-06-17 15:59:33,2,-73.98063659667967,40.76412963867188,-73.98605346679686,40.78055953979492,N,890,14.833333333333334,15,Friday,1.8818247108574653
id0630307,1,2016-04-14 07:23:45,2016-04-14 07:31:17,1,-73.97293090820312,40.739154815673835,-73.9559326171875,40.765411376953125,N,452,7.533333333333333,7,Thursday,3.2497602822730713
id3560468,2,2016-06-24 09:19:06,2016-06-24 09:35:46,1,-73.99464416503906,40.765789031982415,-73.9533920288086,40.82438659667969,N,1000,16.666666666666668,9,Friday,7.378728932640461
id3094009,1,2016-01-06 08:18:24,2016-01-06 08:21:20,1,-73.96494293212889,40.75581741333008,-73.97452545166014,40.752567291259766,N,176,2.933333333333333,8,Wednesday,0.8838133464779149
id1074035,1,2016-02-09 10:45:43,2016-02-09 10:52:36,1,-73.9639892578125,40.76511001586913,-73.96517944335938,40.75294876098633,N,413,6.883333333333334,10,Tuesday,1.3551289982610673
id2807044,1,2016-04-03 00:43:34,2016-04-03 00:57:28,1,-73.98247528076173,40.76194381713867,-73.9963607788086,40.76486587524414,N,834,13.9,0,Sunday,1.21297876857596
id0704046,1,2016-04-23 06:17:52,2016-04-23 06:25:11,1,-74.0040283203125,40.74208831787109,-73.9875717163086,40.76023864746094,N,439,7.316666666666666,6,Saturday,2.4469078456022957
id0755314,2,2016-05-10 16:40:33,2016-05-10 17:05:19,3,-74.0146484375,40.71372985839844,-73.9549331665039,40.76520156860352,N,1486,24.766666666666666,16,Tuesday,7.615500118976109
id1250100,2,2016-03-02 10:46:27,2016-03-02 10:54:59,1,-73.98123931884764,40.770877838134766,-73.97367858886719,40.76278305053711,N,512,8.533333333333333,10,Wednesday,1.1018548552232794
id3501189,1,2016-02-08 18:22:38,2016-02-08 18:41:32,4,-73.9976806640625,40.7225456237793,-73.98816680908203,40.74583053588867,N,1134,18.9,18,Monday,2.7087140652581687
id3423882,1,2016-02-18 19:04:10,2016-02-18 19:09:18,1,-73.96843719482422,40.79150390625,-73.95973205566406,40.78208923339844,N,308,5.133333333333334,19,Thursday,1.2771080390281593
id1359699,1,2016-01-28 05:22:51,2016-01-28 05:25:36,1,-73.96269989013672,40.76067733764648,-73.96247100830078,40.76648712158203,N,165,2.75,5,Thursday,0.6459002486923827
id3270814,1,2016-02-27 05:05:55,2016-02-27 05:08:29,2,-73.9503402709961,40.77999496459961,-73.94551086425781,40.79030990600586,N,154,2.566666666666667,5,Saturday,1.216143104620417
id3799993,2,2016-06-26 21:35:47,2016-06-26 22:13:40,1,-74.00626373291014,40.7338981628418,-73.953369140625,40.72819900512695,N,2273,37.88333333333333,21,Sunday,4.498972501841494
id1626138,2,2016-05-22 20:28:01,2016-05-22 20:58:05,2,-73.88513946533203,40.77246856689453,-73.98844909667967,40.756790161132805,N,1804,30.066666666666666,20,Sunday,8.867987578774521
id3093297,1,2016-03-27 16:19:36,2016-03-27 16:41:48,2,-73.98247528076173,40.772655487060554,-73.99957275390625,40.72218704223633,N,1332,22.2,16,Sunday,5.7900799384818225
id0503098,2,2016-01-22 15:27:23,2016-01-22 15:40:48,5,-73.94275665283203,40.79402160644531,-73.94747924804686,40.77974319458008,N,805,13.416666666666666,15,Friday,1.6356868824544524
id2323511,2,2016-01-08 09:06:31,2016-01-08 09:18:18,1,-73.99108123779298,40.75032043457031,-73.9758071899414,40.75152969360352,N,707,11.783333333333333,9,Friday,1.292822915296858
id3259889,2,2016-05-21 04:10:19,2016-05-21 04:39:55,1,-74.00515747070312,40.7407112121582,-73.96465301513672,40.77305603027344,N,1776,29.6,4,Saturday,4.954169614669559
id2565761,2,2016-04-17 18:00:31,2016-04-17 18:08:00,1,-73.9996337890625,40.75385284423828,-73.98576354980467,40.76355743408203,N,449,7.483333333333333,18,Sunday,1.589360971615747
id2912674,2,2016-05-20 00:39:58,2016-05-20 00:50:48,2,-73.99037170410156,40.76076126098633,-73.97329711914062,40.75139999389648,N,650,10.833333333333334,0,Friday,1.7742464383880427
id2320553,2,2016-02-08 07:46:00,2016-02-08 07:59:20,1,-74.00547790527344,40.73319625854492,-73.98209381103516,40.74605178833008,N,800,13.333333333333334,7,Monday,2.4325558227332893
id1061703,2,2016-02-24 17:54:43,2016-02-24 18:08:28,1,-73.96843719482422,40.76197814941406,-73.98834991455078,40.73722839355469,N,825,13.75,17,Wednesday,3.220933665951322
id0462957,1,2016-04-23 07:42:23,2016-04-23 07:50:13,3,-73.96619415283203,40.765323638916016,-73.96298980712889,40.77799987792969,N,470,7.833333333333333,7,Saturday,1.4342285729109587
id3741214,2,2016-04-20 08:19:08,2016-04-20 08:41:18,1,-73.97246551513672,40.74924087524414,-73.95803833007811,40.78389358520508,N,1330,22.166666666666668,8,Wednesday,4.037689977366487
id2960591,2,2016-01-03 13:55:48,2016-01-03 14:05:48,1,-73.99227142333984,40.69469833374024,-73.9869384765625,40.72084045410156,N,600,10.0,13,Sunday,2.939575846549486
id3047386,1,2016-02-03 22:28:16,2016-02-03 22:44:54,1,-73.9821014404297,40.76822662353516,-73.94385528564453,40.81703186035156,N,998,16.633333333333333,22,Wednesday,6.306155949073936
id2010050,2,2016-05-21 00:12:52,2016-05-21 00:15:08,2,-73.96748352050781,40.787761688232415,-73.96748352050781,40.787761688232415,N,136,2.2666666666666666,0,Saturday,0.0
id2777239,1,2016-02-03 20:40:07,2016-02-03 21:12:17,1,-73.98653411865233,40.75164031982422,-73.90385437011719,40.89152145385742,N,1930,32.166666666666664,20,Wednesday,17.02843457820317
id1144431,1,2016-01-17 03:13:30,2016-01-17 03:36:39,1,-74.0041732788086,40.70789337158203,-73.8968734741211,40.74610137939453,N,1389,23.15,3,Sunday,9.983915023053637
id0178177,1,2016-03-21 11:57:53,2016-03-21 12:06:54,1,-73.96086883544923,40.78096771240234,-73.96511840820312,40.77218627929688,N,541,9.016666666666667,11,Monday,1.0392981908389722
id3610838,2,2016-06-01 23:03:51,2016-06-01 23:12:42,1,-73.9886245727539,40.74872589111328,-73.9993667602539,40.72622680664063,N,531,8.85,23,Wednesday,2.658792859210901
id3206179,1,2016-03-01 11:04:26,2016-03-01 11:13:00,1,-73.97479248046875,40.75955581665039,-73.9704818725586,40.752151489257805,N,514,8.566666666666666,11,Tuesday,0.8992631527006262
id1681681,1,2016-06-26 15:34:59,2016-06-26 15:41:27,2,-73.9554443359375,40.779747009277344,-73.94256591796875,40.78632354736328,N,388,6.466666666666667,15,Sunday,1.3070338092703082
id0267670,2,2016-06-17 20:00:28,2016-06-17 20:32:17,1,-73.97808074951173,40.76641082763672,-73.99716949462889,40.719268798828125,N,1909,31.816666666666666,20,Friday,5.479646144247134
id3204049,1,2016-05-26 23:02:01,2016-05-26 23:43:46,2,-73.87076568603516,40.77367782592773,-73.98643493652342,40.722450256347656,N,2505,41.75,23,Thursday,11.27971619789485
id0316880,2,2016-06-13 16:42:20,2016-06-13 17:05:39,4,-73.9513168334961,40.77016830444336,-73.9361572265625,40.81549835205078,N,1399,23.316666666666666,16,Monday,5.1962540462544915
id1327962,1,2016-03-23 08:12:02,2016-03-23 08:28:40,1,-74.01495361328125,40.71415328979492,-73.99113464355469,40.73973846435546,N,998,16.633333333333333,8,Wednesday,3.4795256955542135
id2774007,2,2016-02-06 18:25:44,2016-02-06 18:30:10,1,-73.97434234619139,40.75410842895508,-73.97989654541014,40.74488067626953,N,266,4.433333333333334,18,Saturday,1.1270089041971474
id1674729,1,2016-02-04 12:55:08,2016-02-04 13:03:53,1,-74.01427459716798,40.713863372802734,-74.01675415039062,40.70474624633789,N,525,8.75,12,Thursday,1.0344475908080597
id3453321,1,2016-02-01 16:38:29,2016-02-01 16:50:28,1,-73.96383666992188,40.768115997314446,-73.95230865478516,40.78637313842773,N,719,11.983333333333333,16,Monday,2.248821540812867
id0255809,2,2016-04-28 18:09:04,2016-04-28 18:11:24,4,-73.96094512939453,40.76912689208984,-73.95297241210938,40.780132293701165,N,140,2.3333333333333335,18,Thursday,1.3949262611259807
id0734865,2,2016-03-11 20:19:32,2016-03-11 20:29:58,6,-73.99127197265625,40.73497009277344,-73.994384765625,40.71831893920898,N,626,10.433333333333334,20,Friday,1.8688378503909089
id1249471,1,2016-02-26 05:02:18,2016-02-26 05:05:28,1,-73.95037841796875,40.787063598632805,-73.95152282714845,40.793678283691406,N,190,3.1666666666666665,5,Friday,0.7413367189374447
id1024260,1,2016-01-19 07:10:28,2016-01-19 07:13:35,2,-73.98300170898438,40.74558639526367,-73.97559356689453,40.75471115112305,N,187,3.1166666666666667,7,Tuesday,1.190425646329162
id0594008,2,2016-05-24 18:34:03,2016-05-24 19:05:12,1,-73.97943878173827,40.74684143066406,-73.96956634521484,40.78987884521485,N,1869,31.15,18,Tuesday,4.8541756678398045
id3094909,2,2016-03-02 08:40:14,2016-03-02 08:50:16,2,-74.01619720458984,40.715190887451165,-74.00113677978516,40.746341705322266,N,602,10.033333333333333,8,Wednesday,3.6866411502308662
id0909138,1,2016-02-14 20:18:14,2016-02-14 20:26:20,1,-73.99951171875,40.72817611694336,-73.98870849609375,40.73127365112305,N,486,8.1,20,Sunday,0.9726828966333361
id3829761,1,2016-02-28 23:07:47,2016-02-28 23:14:46,1,-73.95603942871092,40.80358505249024,-73.9569320678711,40.77984237670898,N,419,6.983333333333333,23,Sunday,2.6394761300525924
id2090099,1,2016-04-23 16:17:08,2016-04-23 16:25:13,1,-73.99726867675781,40.73160171508789,-74.00386810302734,40.741405487060554,N,485,8.083333333333334,16,Saturday,1.222977355700026
id3460969,1,2016-06-09 23:09:58,2016-06-09 23:38:39,1,-73.99130249023438,40.72719955444336,-73.95230102539062,40.76887130737305,N,1721,28.683333333333334,23,Thursday,5.6767000826840945
id1357685,1,2016-06-17 21:50:29,2016-06-17 21:59:54,2,-73.99857330322266,40.71734619140625,-73.98966979980467,40.726348876953125,N,565,9.416666666666666,21,Friday,1.250252126173505
id3378154,2,2016-02-11 12:56:47,2016-02-11 13:08:38,1,-73.9775390625,40.7537498474121,-73.97335052490233,40.74365997314453,N,711,11.85,12,Thursday,1.175378322124218
